"pitches","player_id","player_name","api_game_date_month_text","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle"
144,665487,"Tatis Jr., Fernando","Mar/Apr",508,28.3,0.238,0.198,0.255,0.437,0.332,0.394,0.297,30,126,91.7,9.5,2185,88.8,88.98,21,121,23,0.20000000000000284,6.44,108,150,122,146,303,327,297,"-4.3","4.3","73.1","7.3",144,100,18,5,1,6,27,18.8,15,10.4,2.46833,0.4769,0.38315,0.11,"96.2",172,53,13,9.027777777777777,5.75,-0.94,0.01,2.48,0.326,13,"2.961111111",0.38,0.528,"-2.961111111",-0.059,-0.05399999999999999,-0.091,-0.062,17.4,"37.4"
143,665742,"Soto, Juan","Mar/Apr",569,25.1,0.319,0.259,0.315,0.578,0.43,0.455,0.317,37,116,95.2,12.5,2259,89.7,89.96,13,113,30,0.29999999999999716,6.51,114,147,126,151,294,323,299,"-14.1","14.1","75.5","7.4",143,100,23,6,0,8,18,12.6,25,17.5,2.23434,0.64718,0.41986,-0.16601,"97.8",171,57.99999999999999,18,12.587412587412588,5.74,-0.65,-0.11,2.28,0.434,18,"9.85034965",0.438,0.635,"-9.85034965",0.002,-0.0040000000000000036,-0.057,-0.025,11.5,"38.7"
141,680776,"Duran, Jarren","Mar/Apr",546,25.8,0.27,0.119,0.347,0.389,0.321,0.326,0.276,34,126,89.8,5.8,2140,88.5,88.74,26,122,19,0.20000000000000284,6.45,118,146,115,151,283,317,306,"-4","4","71.1","7.5",141,96,24,6,3,1,31,22,12,8.5,2.3783,0.59993,0.333,-0.14729,"94.6",141,38.54166666666667,5.208333333333334,3.546099290780142,5.78,-0.78,0.08,2.19,0.34,5,"2.831914894",0.346,0.388,"-2.831914894",-0.006,-0.00599999999999995,0.001,-0.005,21.3,"40.5"
135,606192,"Hernández, Teoscar","Mar/Apr",509,26.5,0.254,0.197,0.347,0.451,0.335,0.309,0.229,31,122,92.2,8,2190,88.2,88.46,35,114,21,0.29999999999999716,6.49,109,151,121,146,303,321,295,"-2.1","2.1","73.6","7.7",135,78,19,6,0,6,44,32.6,11,8.1,2.51326,0.46793,0.44141,0.18037,"96.1",157,53.84615384615385,12.82051282051282,7.4074074074074066,5.67,-0.79,0.05,2.42,0.321,10,"1.580740741",0.298,0.41,"-1.580740741",0.025,0.02300000000000002,0.041,0.026,30.7,"36.9"
131,660670,"Acuña Jr., Ronald","Mar/Apr",550,23.8,0.245,0.073,0.351,0.318,0.316,0.337,0.25,27,110,91,7.1,2210,89.9,90.16,23,98,33,0.29999999999999716,6.51,110,152,123,147,306,325,294,"-2.1","2.1","75.7","7.7",131,75,21,5,0,1,35,26.7,18,13.7,2.20542,0.65366,0.50122,0.24809,"96.0",128,48,8,4.580152671755725,5.75,-0.69,-0.03,2.25,0.366,6,"1.616030534",0.37,0.368,"-1.616030534",-0.005,-0.0040000000000000036,-0.05,-0.021,23.5,"37.0"
130,682998,"Carroll, Corbin","Mar/Apr",486,26.7,0.193,0.053,0.231,0.246,0.252,0.299,0.221,22,114,84.1,10.4,2189,90.3,90.62,14,106,24,0.29999999999999716,6.47,114,146,112,152,297,327,304,"4.8","-4.8","72.9","6.9",130,92,18,3,0,1,22,16.9,15,11.5,2.19554,0.65,0.41854,-0.15654,"92.9",136,27.173913043478258,5.434782608695652,3.8461538461538463,5.84,-0.49,-0.06,2.33,0.292,5,"-3.679230769",0.317,0.339,"3.679230769",-0.028,-0.025000000000000022,-0.093,-0.047,13.2,"39.6"
130,666971,"Gurriel Jr., Lourdes","Mar/Apr",494,26.3,0.254,0.172,0.271,0.426,0.315,0.322,0.264,31,122,88.3,16.7,2277,89.3,89.75,15,116,14,0.5,6.5,109,149,123,147,305,326,296,"-3.6","3.6","69.5","7.4",130,101,20,6,0,5,21,16.2,8,6.2,2.29154,0.60138,0.24115,0.00531,"94.4",181,43.56435643564357,7.920792079207921,6.153846153846154,5.82,-0.53,0.11,2.4,0.3,8,"2.758461538",0.309,0.432,"-2.758461538",-0.01,-0.009000000000000008,-0.006,-0.007,12.9,"40.3"
127,671218,"Ramos, Heliot","Jun",510,24.9,0.304,0.268,0.342,0.571,0.398,0.394,0.275,34,112,92.5,8.3,2283,88.4,88.69,25,109,18,0.29999999999999716,6.42,107,151,122,147,306,322,291,"-13.8","13.8","75.3","6.8",127,84,20,6,0,8,30,23.6,12,9.4,2.44512,0.51815,0.20944,-0.04976,"96.8",164,52.38095238095239,19.047619047619047,12.598425196850393,5.83,-0.69,0.11,2.25,0.37,16,"10.864566929",0.348,0.58,"-10.864566929",0.029,0.02200000000000002,-0.009,0.004,22.9,"39.9"
126,663656,"Tucker, Kyle","Mar/Apr",517,24.4,0.295,0.267,0.304,0.562,0.415,0.425,0.318,31,105,91.5,22.1,2246,89,89.23,12,99,27,0.20000000000000284,6.48,119,145,128,151,291,329,300,"-10.3","10.3","71.7","7.5",126,86,17,7,0,7,19,15.1,20,15.9,2.35714,0.57484,0.34831,-0.18347,"95.4",234,52.32558139534884,12.790697674418606,8.73015873015873,5.85,-0.33,-0.17,2.27,0.408,11,"8.142063492",0.427,0.56,"-8.142063492",-0.023,-0.019000000000000017,0.002,-0.01,12.1,"39.7"
125,677594,"Rodríguez, Julio","May",496,25.2,0.274,0.094,0.341,0.368,0.304,0.351,0.29,32,117,93.4,7.8,2244,89.3,89.52,23,111,14,0.20000000000000284,6.43,106,150,120,146,303,324,288,"-1.1","1.1","74.5","7.7",125,88,27,2,0,3,29,23.2,7,5.6,2.37936,0.5196,0.42512,0.24608,"97.2",162,52.27272727272727,9.090909090909092,6.4,5.86,-0.72,-0.08,2.35,0.32,8,"0.8856",0.335,0.471,"-0.8856",-0.016,-0.015000000000000013,-0.103,-0.047,20.7,"40.1"
