"pitches","player_id","player_name","api_game_date_month_text","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle"
122,691026,"Winn, Masyn","Aug",459,26.6,0.292,0.186,0.301,0.478,0.35,0.324,0.277,33,113,88.3,8.6,2281,90.5,90.93,16,114,8,0.4000000000000057,6.47,108,151,117,148,303,321,288,"-0.2","0.2","70.6","7.2",122,98,22,6,0,5,16,13.1,7,5.7,2.06402,0.7543,0.33959,0.14926,"93.5",165,35.714285714285715,5.1020408163265305,4.098360655737705,5.87,-0.71,0.04,2.41,0.336,5,"0.167213115",0.326,0.406,"-0.167213115",0.015,0.010000000000000009,0.072,0.026,14,"42.0"
122,681297,"Cowser, Colton","Aug",488,25,0.234,0.18,0.344,0.414,0.313,0.26,0.183,26,111,88.4,13.8,2165,88.4,88.89,37,105,17,0.5,6.6,117,148,124,152,297,326,305,"-3.9","3.9","71.4","7.0",122,68,15,6,1,4,43,35.2,10,8.2,2.46951,0.49623,0.33123,-0.19664,"94.4",188,42.64705882352941,11.76470588235294,6.557377049180328,5.69,-0.48,-0.16,2.32,0.303,8,"3.206557377",0.256,0.33,"-3.206557377",0.051,0.046999999999999986,0.084,0.053,35.2,"37.7"
121,808982,"Lee, Jung Hoo","Mar/Apr",444,27.3,0.259,0.083,0.265,0.343,0.295,0.33,0.287,28,108,90.5,6.3,2257,89.6,89.73,6,106,15,0.10000000000000853,6.46,117,146,113,151,287,316,301,"0.8","-0.8","69.5","7.3",121,100,23,3,0,2,10,8.3,10,8.3,2.12248,0.76612,0.37017,-0.17717,"94.6",142,47,3,2.479338842975207,5.76,-0.59,-0.22,2.5,0.322,3,"-0.636363636",0.348,0.405,"0.636363636",-0.028,-0.025999999999999968,-0.062,-0.035,5.7,"38.3"
119,694192,"Chourio, Jackson","Aug",432,27.5,0.327,0.236,0.369,0.564,0.403,0.403,0.329,36,110,91.9,10.2,2298,87.7,87.96,18,107,12,0.29999999999999716,6.38,108,151,120,148,303,321,292,"-12.6","12.6","72.2","7.4",119,89,22,7,2,5,21,17.6,6,5,2.56639,0.45445,0.1321,0.01983,"96.1",172,53.93258426966292,11.235955056179774,8.403361344537815,5.66,-0.91,-0.09,2.4,0.378,10,"10.624369748",0.379,0.556,"-10.624369748",-0.002,-0.0010000000000000009,0.008,0,16.8,"36.1"
118,666149,"Fitzgerald, Tyler","Aug",473,24.9,0.275,0.193,0.357,0.468,0.34,0.285,0.226,30,109,87.9,19.5,2325,90,90.22,29,104,14,0.20000000000000284,6.39,107,151,115,146,299,320,291,"-3","3","69.5","7.3",118,75,19,6,0,5,35,29.7,6,5.1,2.20932,0.63718,0.33347,0.10585,"92.4",195,32,6.666666666666667,4.23728813559322,5.77,-0.79,0.18,2.45,0.322,5,"2.556779661",0.277,0.373,"-2.556779661",0.049,0.044999999999999984,0.095,0.055,27.9,"35.3"
117,694671,"Langford, Wyatt","Mar/Apr",518,22.6,0.238,0.076,0.304,0.314,0.279,0.315,0.247,25,105,87.9,16.1,2317,89.1,89.35,17,97,20,0.30000000000001137,6.49,108,151,120,145,305,327,293,"1.9","-1.9","72.7","6.7",117,80,20,3,1,1,26,22.2,10,8.5,2.28769,0.64226,0.25487,0.14043,"93.4",165,37.5,7.5,5.128205128205128,5.75,-0.7,0.19,2.39,0.308,6,"-1.631623932",0.317,0.395,"1.631623932",-0.009,-0.009000000000000008,-0.081,-0.036,17.5,"40.0"
115,691026,"Winn, Masyn","Jul",452,25.4,0.264,0.123,0.284,0.387,0.312,0.292,0.242,28,106,85.6,11.3,2254,89.8,90.34,12,103,12,0.5,6.53,109,151,113,147,311,323,290,"-1.5","1.5","69.5","7.3",115,91,22,2,1,3,15,13,9,7.8,2.22409,0.63696,0.4093,-0.03088,"92.6",142,31.868131868131865,3.296703296703297,2.608695652173913,5.78,-0.62,0.12,2.25,0.322,3,"1.292173913",0.302,0.351,"-1.292173913",0.022,0.020000000000000018,0.036,0.02,11.7,"39.0"
114,694671,"Langford, Wyatt","Sep/Oct",461,24.7,0.3,0.31,0.324,0.61,0.422,0.385,0.286,30,100,91.5,11.2,2292,90.1,90.11,15,91,23,0,6.37,108,151,120,145,304,326,296,"-10.5","10.5","72.5","6.9",114,76,15,7,0,8,24,21.1,13,11.4,2.34482,0.51281,0.4,0.18513,"95.8",165,47.368421052631575,13.157894736842104,8.771929824561402,5.81,-1.2,0.1,2.28,0.386,10,"9.210526316",0.374,0.516,"-9.210526316",0.014,0.01200000000000001,0.094,0.037,16.5,"37.2"
114,672640,"Lopez, Otto","Aug",459,24.8,0.291,0.087,0.361,0.379,0.328,0.325,0.282,30,103,90,3.9,2211,89.2,89.57,16,99,15,0.3999999999999915,6.46,109,150,119,148,304,319,284,"-4.7","4.7","69.2","6.5",114,83,22,7,1,0,20,17.5,11,9.6,2.37,0.53292,0.40368,0.01053,"94.2",139,42.168674698795186,4.819277108433735,3.508771929824561,5.76,-0.63,0.08,2.41,0.36,4,"4.104385965",0.351,0.379,"-4.104385965",0.009,0.009000000000000008,0,0.003,16.2,"37.5"
113,695578,"Wood, James","Aug",463,24.4,0.302,0.177,0.413,0.479,0.387,0.357,0.263,29,96,92.2,6.6,2236,87.8,88.13,16,82,31,0.29999999999999716,6.43,118,148,128,151,297,325,304,"-7.9","7.9","73.1","7.4",113,66,20,4,2,3,30,26.5,16,14.2,2.56912,0.42584,0.23558,-0.14442,"96.2",143,45.45454545454545,9.090909090909092,5.3097345132743365,5.79,-0.33,0,2.25,0.407,6,"7.030973451",0.374,0.427,"-7.030973451",0.039,0.032999999999999974,0.052,0.03,19.5,"34.6"
